datetime	vix_all
1900	4882
1901	4977
1902	4963
1903	5311
1904	5264
1905	6893
1906	5648
1907	5860
1908	5712
1909	5774
1910	6494
1911	6121
1912	6496
1913	6671
1914	6645
1915	8646
1916	7237
1917	7844
1918	8525
1919	8704
1920	9620
1921	10634
1922	11464
1923	12946
1924	14102
1925	17923
1926	17734
1927	20349
1928	24111
1929	32408
1930	47586
1931	48228
1932	49152
1933	45490
1934	54466
1935	54801
1936	18788
1937	7430
1938	16463
1940	2
1945	1775
1952	1916
1953	2
1955	1
1956	6
1957	36656
1958	28472
1959	22463
2000	20232
2001	17868
2002	20718
2003	14666
2004	13668
2005	13096
2006	12274
2007	12081
2008	11701
2009	10942
2010	10890
2011	10267
2012	14087
2013	9360
2014	9099
2015	9342
2016	9038
2017	8134
2018	8152
2019	7803
2020	7905
2021	7978
2022	11455
2023	6962
2024	6593
2025	6242
2026	6145
2027	6904
2028	10287
2029	9915
2030	9180
2031	8990
2032	14538
2033	8696
2034	8048
2035	7630
2036	7497
2037	7169
2038	6735
2039	6724
2040	6340
2041	6270
2042	10809
2043	6169
2044	5537
2045	5566
2046	5588
2047	5279
2048	5157
2049	5104
2050	4929
2051	5020
2052	9470
2053	4838
2054	4826
2055	4571
2056	4624
2057	4659
2058	4344
2059	4177